23.48,2017-07-02 16:59:13,B2 D' B2 D' F2 U' F2 R2 D B2 R' B' U B2 U2 L D F R' B U'
27.16,2017-07-02 16:59:57,D2 F2 R2 F2 D' R2 D2 L2 D B2 D R B D2 U R' U2 B R' D L'
19.08,2017-07-02 17:00:33,R2 U F2 D L2 U R2 D2 B2 U' B2 F R B2 R' U L2 D' B F' U
21.02,2017-07-02 17:01:41,B R' U F' U B2 D B' R' F' L2 F' D2 F2 R2 B' R2 D2 F' U2
20.78,2017-07-02 17:02:19,B' U' D' F' L' F L F D' L2 F' R2 F L2 U2 F D2 F L2 F'
19.46,2017-07-02 17:02:58,U2 B2 D2 L2 D2 R2 B2 U' F2 R2 U2 B L' U2 R U F2 R D2 F' U2
21.19,2017-07-02 17:04:06,F R F2 U2 R D2 L' F2 L2 F2 U2 R D F R2 U' F2 D' R' B
24.66,2017-07-02 17:04:52,L2 U2 L2 U F2 L2 U2 R2 U' R2 U2 F' D' U' L F' D' L2 D' U2 L2
21.98,2017-07-02 17:05:32,U' R2 L F U L F U' B' U D R2 L2 U F2 L2 U' L2 D R2
16.04,2017-07-02 17:06:11,D2 F L2 R2 D2 L2 U2 B D2 B R2 U' L2 R U' L B' U2 F D' L
24.25,2017-07-02 17:07:09,L2 U' F2 R2 D F2 L2 B2 U' B2 U' L U B2 R U B' L2 D' R2 U2
22.78,2017-07-02 17:08:08,R2 U2 F R U F2 D U2 R2 F D2 L2 B L2 B' D2 L2 B2
32.65,2017-07-02 17:09:11,D' B2 R2 D' L2 B2 U' L2 D2 F2 U' R F' U2 R U2 F U' B' F' R'
23.66,2017-07-02 17:10:06,B2 D2 R' U2 L2 R' D2 F2 L' B2 L B U B' U2 R D' L U2 B
23.93,2017-07-02 17:12:42,D F2 D L2 F2 U L2 D2 F2 R2 F2 B' L' F R2 F L D' F U2
23.34,2017-07-02 17:13:32,L2 D B2 F2 D2 U' L2 D' R2 B2 U' B' L D2 R' D2 F' L2 F' L' U'
27.59,2017-07-02 17:14:21,F L2 D2 F2 L2 B' D2 F' D2 L2 R2 U' L' B D L2 B D R' D R'
26.51,2017-07-02 17:15:09,B2 L2 F R2 U2 F D2 F2 R2 B' L' U2 L2 B L2 U' R' F' U'
26.99,2017-07-02 17:15:52,B' L2 B' L2 R2 U2 F2 R2 F' R2 L' F L' D' R2 B U R2 B2 D
31.86,2017-07-02 17:16:53,R2 D F2 U L2 D2 F2 R2 U F2 R D U2 R2 B U' L B' F D' L'
27.45,2017-07-03 09:38:06,L2 D2 F2 L' R2 B2 F2 D2 R F2 R U' R2 B' L F2 U' R2 F' R
30.88,2017-07-03 09:39:01,D' B2 D' L2 D2 L2 U R2 U' B2 L2 B' L' B2 F' L2 U L B2 F' U2
30.78,2017-07-03 09:40:12,F2 U L2 R2 D R2 F2 D F2 D2 L' F' R2 U L D2 L R2 F' L2
28.47,2017-07-03 09:41:26,U F D2 L2 B U2 B' L2 F' D2 B D2 U B' D2 L' F D' R' B2
30.26,2017-07-03 09:42:27,U2 B2 U' R2 D R2 B2 U' F2 D R2 L F U2 R2 D F D R D R2
25.66,2017-07-03 09:43:47,U2 B2 R D2 R U2 R B2 R2 D2 R' U' L' D R U F R2 F2 D L2
23.62,2017-07-03 09:44:42,L F2 D2 F U2 F' U2 L2 F2 U2 F D L U2 R' D B2 F' U' B
26.47,2017-07-03 09:45:32,L B2 U2 L2 D B2 U2 B2 U2 L2 B2 R2 F' L D' F2 U2 B2 L2 D'
25.8,2017-07-03 09:53:13,F2 U' B2 D' U2 F2 L2 D' F2 R2 D2 L D' B2 F R' B' L2 U B2 R
24.67,2017-07-03 09:54:10,R' B' L2 F' L2 F' U2 R2 F R2 B U' L' B2 D F2 R' B2 L
27.89,2017-07-03 09:54:58,L2 B L2 B' D2 R2 D' R' F' R' U2 L' B2 L D2 L B2 R' D2 R2
26.53,2017-07-03 09:55:50,B' U F2 R2 D' R2 F2 U2 L2 F2 D' B2 R D' L' R' U' B' L2 U R
26.54,2017-07-03 09:56:46,F D2 B' R2 U2 B2 U2 F L2 F' R2 D' U' L F R2 U R U R2 D'
24.53,2017-07-03 09:57:34,D B2 U L2 R2 D2 F2 D' B2 L2 U' B F2 U2 B R' U B2 F' R' B
23.75,2017-07-03 09:58:22,L B2 U' B D L2 F' D' L' B2 R2 B2 U2 F2 B2 L B2 R' D2 F'
28.7,2017-07-03 09:59:13,B' D2 B L2 D2 F' L2 F2 D2 R2 D R U B2 D2 U R' D U
30.27,2017-07-03 10:00:05,B' U2 B2 F2 R2 U' F2 R2 U' L2 U2 R2 F' U B D B L' D2 F L
27.03,2017-07-03 10:00:54,R U D2 B D F U' L' F' D' L2 U' D2 B2 U' L2 U2 F2 R2
21.37,2017-07-03 10:01:39,B L2 U F B' R' B2 L' B' R' D2 F2 L' U2 D2 F2 R2 U2 R' U2
27.76,2017-07-03 10:04:54,L' F2 L2 U2 B' U2 R2 U2 B L2 F L2 D' B' R B2 L2 U' B2 U
24.21,2017-07-03 10:05:41,B2 R B2 D' F R2 U D2 F' D2 F2 U R2 U B2 L2 U2 R2 D' B2
22.98,2017-07-03 10:06:35,L' B2 R' B2 F2 U2 R B2 L' F2 R' D B2 L' F U2 R' F L' D2
29.41,2017-07-03 10:09:16,U2 L2 R2 F2 U' B2 L2 D U' R2 F2 L' B' L D' B R' F U2 B2 L
